year,count,authorLabel
2004,2,Germán Santana Pérez
2002,4,Germán Santana Pérez
1996,2,Germán Santana Pérez
1999,1,Germán Santana Pérez
2000,2,Germán Santana Pérez
1995,2,Germán Santana Pérez
1997,1,Germán Santana Pérez
2011,3,Germán Santana Pérez
2001,2,Germán Santana Pérez
2017,1,Zenón José Hernández Figueroa
1997,2,Consuelo Herrera Caso
2000,1,Consuelo Herrera Caso
2002,1,Consuelo Herrera Caso
2004,1,Consuelo Herrera Caso
2005,1,Consuelo Herrera Caso
2008,1,Consuelo Herrera Caso
2012,1,Consuelo Herrera Caso
1993,1,Consuelo Herrera Caso
1995,2,Consuelo Herrera Caso
2007,1,Consuelo Herrera Caso
2013,1,Consuelo Herrera Caso
1989,2,Eloísa Llavero Ruiz
2000,1,Eloísa Llavero Ruiz
1991,2,Eloísa Llavero Ruiz
1996,2,Eloísa Llavero Ruiz
1995,2,Zenón José Hernández Figueroa
2003,2,Zenón José Hernández Figueroa
1992,2,José Miguel Pérez García
1989,1,José Miguel Pérez García
1990,2,José Miguel Pérez García
1997,2,José Miguel Pérez García
2002,1,José Miguel Pérez García
2007,1,José Miguel Pérez García
2003,1,Germán Santana Pérez
2007,3,Germán Santana Pérez
2012,2,Germán Santana Pérez
2014,2,Germán Santana Pérez
2016,1,Germán Santana Pérez
2017,1,Germán Santana Pérez
2010,1,Zenón José Hernández Figueroa
2009,1,Zenón José Hernández Figueroa
2006,1,Zenón José Hernández Figueroa
2002,2,Zenón José Hernández Figueroa
1997,2,Zenón José Hernández Figueroa
1994,1,Zenón José Hernández Figueroa
2013,1,Zenón José Hernández Figueroa
2007,1,Zenón José Hernández Figueroa
1999,1,Zenón José Hernández Figueroa
1996,1,Zenón José Hernández Figueroa
2005,1,Zenón José Hernández Figueroa
2011,2,Daniel Castillo Hidalgo
2017,2,Daniel Castillo Hidalgo
2015,5,Daniel Castillo Hidalgo
2014,4,Daniel Castillo Hidalgo
2012,1,Daniel Castillo Hidalgo
2010,1,Daniel Castillo Hidalgo
2016,7,Daniel Castillo Hidalgo
2018,1,Daniel Castillo Hidalgo
2017,1,Isabel Cristina Alfonzo de Tovar
2016,1,Isabel Cristina Alfonzo de Tovar
2013,1,Isabel Cristina Alfonzo de Tovar
2015,1,Sonia Alonso Vega
2008,1,Daniel Castillo Hidalgo
2008,1,Francisco Suárez Viera
2014,1,Yaiza Santana Alvarado
2012,1,Rubén Domínguez Quintana
2010,1,Rubén Domínguez Quintana
2009,1,Rubén Domínguez Quintana
2014,1,Rubén Domínguez Quintana
2007,1,Rubén Domínguez Quintana
2015,1,Rubén Domínguez Quintana
2008,1,Néstor García Lázaro
2013,1,María Esther Rodríguez Gil
2006,1,María Esther Rodríguez Gil
2013,1,Francisco Suárez Viera
2015,1,Salvadora Luján Ramón
2004,1,Gustavo Rodríguez Rodríguez
2003,3,Gustavo Rodríguez Rodríguez
1999,1,Gustavo Rodríguez Rodríguez
1996,1,Gustavo Rodríguez Rodríguez
2005,1,Gustavo Rodríguez Rodríguez
2006,2,Juan Manuel Santana Pérez
2017,2,Juan Manuel Santana Pérez
2000,2,Juan Manuel Santana Pérez
2004,5,Juan Manuel Santana Pérez
2017,1,Gustavo Rodríguez Rodríguez
1978,1,Gustavo Rodríguez Rodríguez
1980,1,Gustavo Rodríguez Rodríguez
1981,1,Gustavo Rodríguez Rodríguez
1983,1,Gustavo Rodríguez Rodríguez
1988,1,Gustavo Rodríguez Rodríguez
1994,1,Gustavo Rodríguez Rodríguez
1995,2,Gustavo Rodríguez Rodríguez
1995,4,Juan Manuel Santana Pérez
1990,3,Juan Manuel Santana Pérez
1989,3,Juan Manuel Santana Pérez
1996,3,Juan Manuel Santana Pérez
2007,2,Juan Manuel Santana Pérez
2008,3,Juan Manuel Santana Pérez
1993,4,Juan Manuel Santana Pérez
2002,1,Juan Manuel Santana Pérez
2010,3,Juan Manuel Santana Pérez
1999,4,Juan Manuel Santana Pérez
1992,2,Juan Manuel Santana Pérez
1991,2,Juan Manuel Santana Pérez
1980,1,Juan Manuel Santana Pérez
2009,2,Juan Manuel Santana Pérez
1988,1,Juan Manuel Santana Pérez
2005,1,Juan Manuel Santana Pérez
2013,1,Juan Manuel Santana Pérez
2003,2,Juan Manuel Santana Pérez
1987,1,Juan Manuel Santana Pérez
2005,4,Antonio Manzanares Pascual
1999,1,Eloísa Llavero Ruiz
1987,2,Eloísa Llavero Ruiz
1988,1,Eloísa Llavero Ruiz
1990,1,Eloísa Llavero Ruiz
1992,1,Eloísa Llavero Ruiz
1998,1,Eloísa Llavero Ruiz
2009,1,Eloísa Llavero Ruiz
1997,1,Antonio Manzanares Pascual
2002,1,Antonio Manzanares Pascual
2003,1,Antonio Manzanares Pascual
1993,1,Antonio Manzanares Pascual
1995,1,Antonio Manzanares Pascual
2007,2,Antonio Manzanares Pascual
2002,4,Gregorio Rodríguez Herrera
2001,3,Gregorio Rodríguez Herrera
2017,1,Alicia Rodríguez Álvarez
2015,2,Alicia Rodríguez Álvarez
2013,1,Alicia Rodríguez Álvarez
2009,1,Alicia Rodríguez Álvarez
2006,1,Alicia Rodríguez Álvarez
2016,1,Alicia Rodríguez Álvarez
2011,1,Alicia Rodríguez Álvarez
2010,1,Alicia Rodríguez Álvarez
1996,2,Gregorio Rodríguez Herrera
2017,2,Gregorio Rodríguez Herrera
1999,4,Gregorio Rodríguez Herrera
1994,1,Gregorio Rodríguez Herrera
2012,1,Gregorio Rodríguez Herrera
2001,2,María Teresa Cáceres Lorenzo
2000,2,María Teresa Cáceres Lorenzo
1999,1,María Teresa Cáceres Lorenzo
1996,2,María Teresa Cáceres Lorenzo
1995,3,María Teresa Cáceres Lorenzo
1993,2,María Teresa Cáceres Lorenzo
1994,1,María Teresa Cáceres Lorenzo
1992,2,María Teresa Cáceres Lorenzo
1991,2,María Teresa Cáceres Lorenzo
1990,1,María Teresa Cáceres Lorenzo
2002,2,María Teresa Cáceres Lorenzo
1997,1,María Teresa Cáceres Lorenzo
2006,2,María Teresa Cáceres Lorenzo
2014,4,Manuel Ramírez Sánchez
2017,3,Manuel Ramírez Sánchez
1994,1,José Miguel Pérez García
1995,2,José Miguel Pérez García
