item,itemLabel,valuesLabel,authorLabel,publishedInLabel,pp
http://www.wikidata.org/entity/Q51332254,Análisis contrastivo de los diferentes tipos textuales en el ámbito de la ciencia y la tecnología: Medicina y Arquitectura,artículo científico,Alexander Cárdenes Rodríguez,Revista de Lenguas para Fines Específicos,9
http://www.wikidata.org/entity/Q51332715,Ampliando horizontes: arquitectura y dominio del lenguaje verbal,capítulo,Alexander Cárdenes Rodríguez,"Arquitectura y urbanismo en Canarias, 1968-1998: XXX aniversario de la E.T.S. de Arquitectura",7
http://www.wikidata.org/entity/Q51442317,Connecting People: Internet and the ESP Class,capítulo,Alexander Cárdenes Rodríguez,Lenguas para fines específicos VI. Investigacion y enseñanza,3
http://www.wikidata.org/entity/Q51321579,Challenging English on engineering,libro,Alexander Cárdenes Rodríguez,,
http://www.wikidata.org/entity/Q51332477,An approach to English on architecture,libro,Alexander Cárdenes Rodríguez,,
http://www.wikidata.org/entity/Q53966330,"Innovaciones léxicas en la obra de Sir Walter Ralegh The discoverie of the large, rich and Bewtiful Empyre of Guiana (1596)",artículo científico,Alicia Rodríguez Álvarez,Philologica canariensia,18
http://www.wikidata.org/entity/Q53966833,Latín for specific purposes and latinized english in 15th-century vernacular deeds,artículo científico,Alicia Rodríguez Álvarez,Revista de Lenguas para Fines Específicos,18
http://www.wikidata.org/entity/Q53967356,A Middle English lesson on reading aloud,artículo científico,Alicia Rodríguez Álvarez,Atlantis,6
http://www.wikidata.org/entity/Q53967663,Segmentation of fifteenth-century legal texts: a reconsideration of punctuation,artículo científico,Alicia Rodríguez Álvarez,Selim,10
http://www.wikidata.org/entity/Q53968767,Changes in Regional Scribal Practice. Degrees of Standarization in 15th Century English Legal Copies from the County of Durham,artículo científico,Alicia Rodríguez Álvarez,Revista Canaria de Estudios Ingleses,15
http://www.wikidata.org/entity/Q53969236,The Art of Preaching in Late Medieval England: an analysis of Contemporary Samples,ponencia,Alicia Rodríguez Álvarez,Woonderous lytterature. SELIM studies in medieval english Literature,14
http://www.wikidata.org/entity/Q53978324,Catvllvs 5. 1-6 en los poetas ingleses del siglo XVII: paralelos imitativos,capítulo,Alicia Rodríguez Álvarez,"""Studia Humanitatis in Honorem"" Antonio Cabrera Perera",16
http://www.wikidata.org/entity/Q53989246,An approach to the historical sketches of the English language in eighteenth-century grammars of English,artículo científico,Alicia Rodríguez Álvarez,Language and History,16
http://www.wikidata.org/entity/Q53989250,“The reader is desired to observe…”: Metacomments in the prefaces to English school grammars of the eighteenth century,artículo científico,Alicia Rodríguez Álvarez,Journal of Historical Pragmatics,23
http://www.wikidata.org/entity/Q53989257,Estudio comparativo de los primeros tratados de puntuación en lengua inglesa (1672-1704): terminología y función de la puntuación,artículo científico,Alicia Rodríguez Álvarez,Onomázein,14
http://www.wikidata.org/entity/Q53989261,Common topics in eighteenth-century prefaces to English school grammars: an application of the ECEG database,artículo científico,Alicia Rodríguez Álvarez,Q7833737,21
http://www.wikidata.org/entity/Q53989268,Preaching in Medical Terms: Matthew Griffith'sThe Catholique Doctor and His Spiritual Catholicon to Cure Our Sinfull Soules (1661),artículo científico,Alicia Rodríguez Álvarez,Studia Neophilologica,13
http://www.wikidata.org/entity/Q53989275,John Entick's and Ann Fisher's Dictionaries: An Eighteenth-century Case of (Cons)Piracy?,artículo científico,Alicia Rodríguez Álvarez,Q15710050,32
http://www.wikidata.org/entity/Q54058020,“’Tis not so easy a matter to read well”: directions for reading aloud in eighteenth-century English grammars,artículo científico,Alicia Rodríguez Álvarez,Moderna språk,28
http://www.wikidata.org/entity/Q54060284,El diseño de tareas para alumnos de doctorado a partir del modelo de aprendizaje experiencial,ponencia,Alicia Rodríguez Álvarez,"Investigação, Práticas e Contextos em Educação 2015",7
http://www.wikidata.org/entity/Q54074424,El uso de las noticias en la clase de Variedades del Inglés o cómo Nelson Mandela entró en el aula (y en nuestros corazones) por unos días,ponencia,Alicia Rodríguez Álvarez,"Investigação, Práticas e Contextos em Educação 2014",2
http://www.wikidata.org/entity/Q54075183,Teaching punctuation in Early Modern England,artículo científico,Alicia Rodríguez Álvarez,Studia Anglica Posnaniensia,15
http://www.wikidata.org/entity/Q54104296,"Spanish Borrowings in Early Modern English Travelogues and Dictionaries, or How to Make the New Reality in the Spanish Colonies Intelligible to English Readers",capítulo,Alicia Rodríguez Álvarez,The Language of Private and Public Communication in a Historical Perspective,20
http://www.wikidata.org/entity/Q53980949,Documentos notariales vernáculos del condado de Durham (siglo XV): estudio y edición,libro,Alicia Rodríguez Álvarez,,
http://www.wikidata.org/entity/Q53983067,Voices on the past: studies in old and middle English language and literature,libro,Alicia Rodríguez Álvarez,,
http://www.wikidata.org/entity/Q51879343,A middle English text revised by a renaissance reader: John Wotton's annotations to British Library MS Sloane 249 (ff. 180v-205v),artículo científico,Alicia Rodríguez Álvarez,International Journal of English Studies,25
http://www.wikidata.org/entity/Q51879644,"Sixteenth-century glosses to a fifteenth-century gynaecological treatise (BL, MS Sloane 249, ff. 180v-205v): a scientifically biased revision",artículo científico,Alicia Rodríguez Álvarez,Bells chiming from the past. Cultural and linguistica studies on Early English,13
http://www.wikidata.org/entity/Q53690987,"La tradición épico-ideológica de la figura femenina en el Romancero Canario:a propósito de la contaminación del romance ""El conde Grifos Lombardos"" del Romancero de Hierro",capítulo,Antonio Manzanares Pascual,Con quien tanto quería: estudios en homenaje a María del Prado Escobar Bonilla,8
http://www.wikidata.org/entity/Q56526986,"El rasgo semántico ""determinación"" en español",ponencia,Antonio Manzanares Pascual,"Cien años de investigación semántica, de Michel Breal a la actualidad: actas del Congreso Internacional de Semántica",12
