item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q5878817,Germán Santana Pérez,"Spanish historian, teacher and political"
http://www.wikidata.org/entity/Q5944005,José Miguel Pérez García,Spanish historian and researcher
http://www.wikidata.org/entity/Q27639003,Manuel Ramírez Sánchez,Spanish historian and researcher
http://www.wikidata.org/entity/Q50295630,Trinidad Arcos Pereira,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50315478,Yolanda Arencibia Santana,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50348935,Juan José Bellón Fernández,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50349221,Lydia Esther Bolaños Medina,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50349230,Francisco José Bravo de Laguna Romero,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50349252,María Teresa Cáceres Lorenzo,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50349398,Alexander Cárdenes Rodríguez,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50349410,Francisco Javier Carreras Riudavets,Spanish computer scientist and researcher
http://www.wikidata.org/entity/Q50349417,Israel Castro Robaina,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50357376,Sergio Constán Valverde,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50357388,Gustavo de la Cruz Cruz Samper,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50357450,María Elena Curbelo Tavío,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50357469,María Elisa Cuyás de Torres,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50357478,Marina Díaz Peralta,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50358349,María Victoria Domínguez Rodríguez,Spanish historian and researcher
http://www.wikidata.org/entity/Q50358351,Pilar Domínguez Prats,Spanish historian and researcher
http://www.wikidata.org/entity/Q50358352,Margarita Díaz Roca,Spanish computer scientist and researcher
http://www.wikidata.org/entity/Q50360512,Dolores Fernández Martínez,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50360515,Rosa María González Monllor,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50360518,Candelaria González Rodríguez,Spanish historian and researcher
http://www.wikidata.org/entity/Q50360534,María Dolores García de Paso Carrasco,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50360541,María Jesús García Domínguez,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376568,Zenón José Hernández Figueroa,Spanish computer scientist and researcher
http://www.wikidata.org/entity/Q50376573,Consuelo Herrera Caso,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376574,María Luisa Iglesias Hernández,Spanish historian and researcher
http://www.wikidata.org/entity/Q50376577,Eloísa Llavero Ruiz,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376578,Antonio Manzanares Pascual,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376929,Carmen Márquez Montes,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376937,Juan Jesús Páez Martín,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376940,Miguel Ángel Perdomo Batista,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50376949,María Luisa Monteiro Quintana,Spanish historian and researcher
http://www.wikidata.org/entity/Q50415664,Rocío Pérez Solís,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50415672,Gracia Piñero Piñero,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50415756,Benedicta Rivero Suárez,Spanish historian and researcher
http://www.wikidata.org/entity/Q50415767,Alicia Rodríguez Álvarez,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50415886,Gregorio Rodríguez Herrera,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50415913,Carolina Juárez Rodríguez,Spanish philologist and researcher
http://www.wikidata.org/entity/Q50415920,Gustavo Rodríguez Rodríguez,Spanish computer scientist and researcher
http://www.wikidata.org/entity/Q50432202,María Nayra Rodríguez Rodríguez,Spanish philologist and researcher
